"Nrpk";"Year";"Date";"Polig_nr";"Nr_4digitcode";"Approach";"Uniq_no";"Uniq_Rprog";"Unipntno";"Eksp_spp";"Exp_gr";"Mont_pnt";"Address";"Rel_type";"Status";"Usage";"Ul_mown";"Ul_graz";"Ul_aftmh";"Exp_opin";"Statuslet";"Luordap";"Transect_segment";"Transect_length";"Tr_length_m";"Str_score";"Spp_scortotal";"Spp_score50";"Totl_score";"Gr_qualit_exp";"Gr_qualit_farmer";"No_sp_plot";"aeup";"avul";"bmed";"camp";"cpan";"cvul";"cent";"chet";"cole";"dact";"ddel";"frag";"gbor";"gali";"gver";"gera";"geum";"hype";"isal";"karv";"lath";"lhis";"lvul";"lova";"lfos";"lsal";"mlup";"mela";"pilo";"psax";"pmed";"plat";"poly";"parg";"pere";"pver";"rhin";"ssyl";"sacr";"svir";"spra";"thal";"thym";"tpra";"trif";"tmon";"teur";"voff";"vlon";"vvul";"cumul_spno";"pairs";"avrg_spno_plot"
3781;2024;20240625;"6808_3";6808;"komb";"24_6808_3_b";"24_6808_3";"24_6808_3_b_1";"M_Medne";"exp1";1;"Karlis_ Hermanis_Liepa";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_good";"s";"DAP";57;"508.6069946";509;30;"38.5";"38.5";"68.5";"good";"na";9;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;7
3791;2024;20240625;"6808_4";6808;"komb";"24_6808_4_b";"24_6808_4";"24_6808_4_b_1";"M_Medne";"exp1";1;"Karlis_ Hermanis_Liepa";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_good";"s";"DAP";33;"296.2149963";296;30;"37.5";"37.5";"67.5";"good";"na";9;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;6,8
3901;2024;20240618;"6867";6867;"rez";"24_6867_b";"24_6867";"24_6867_b_1";"M_Medne";"exp1";1;"Lidumu_majas";"basic_ZP";"Participant";"pasture";"no";"yes";"no";"exp_good";"s";"DAP";36;"325.6990051";326;35;"28";"28";"63";"good";"na";6;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;15;1;5
4391;2024;20240626;"6921_1";6921;"komb";"24_6921_1_b";"24_6921_1";"24_6921_1_b_1";"M_Medne";"exp1";1;"Liene_Lubane";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_average";"s";"DAP";64;"577.2670288";577;25;"46.5";"46.5";"71.5";"good";"na";4;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;7,6
4401;2024;20240626;"6921_2";6921;"komb";"24_6921_2_b";"24_6921_2";"24_6921_2_b_1";"M_Medne";"exp1";1;"Liene_Lubane";"basic_ZP";"Participant";"pasture";"no";"no";"no";"exp_average";"s";"DAP";15;"136.6390076";137;30;"46.5";"46.5";"76.5";"good";"na";2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;6,7
4521;2024;20240626;"6968_1";6968;"komb";"24_6968_1_b";"24_6968_1";"24_6968_1_b_1";"M_Medne";"exp1";1;"Vecumnieki_ZS";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";40;"364.1159973";364;20;"45.5";"45.5";"65.5";"good";"na";8;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;1;8
5021;2024;20240618;"7077_1";7077;"rez";"24_7077_1_b";"24_7077_1";"24_7077_1_b_1";"M_Medne";"exp1";1;"Janis_Malnieks";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_good";"s";"DAP";36;"324.5010071";325;25;"52.5";"50";"75";"good";"na";10;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;1;8,7
2711;2024;20240610;"6408_2";6408;"komb";"24_6408_2_b";"24_6408_2";"24_6408_2_b_1";"M_Medne";"exp1";1;"HansaBio_SIA";"basic_ZP";"Participant";"pasture";"no";"yes";"no";"exp_average";"s";"DAP";53;"479.5610046";480;-15;"27.5";"27.5";"12.5";"very_bad";"na";6;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;17;1;5,3
2851;2024;20240625;"6437_1";6437;"komb";"24_6437_1_b";"24_6437_1";"24_6437_1_b_1";"M_Medne";"exp1";1;"Laimdota_Burka";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";51;"460.5339966";461;-25;"37.5";"37.5";"12.5";"very_bad";"na";4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;19;1;6,7
2861;2024;20240625;"6437_2";6437;"komb";"24_6437_2_b";"24_6437_2";"24_6437_2_b_1";"M_Medne";"exp1";1;"Laimdota_Burka";"basic_ZP";"Participant";"meadow";"no";"no";"no";"exp_average";"s";"DAP";39;"352.2749939";352;-25;"39.5";"39.5";"14.5";"very_bad";"na";7;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;6,6
